"name" "value"
"1" "sample17" 57.1273297967017
"2" "sample57" 50.544328069267
"3" "sample94" 89.2317081691587
"4" "sample76" 92.1467429554812
"5" "sample86" 83.4146527226959
"6" "sample9" 55.8002960859521
"7" "sample64" 87.2332796378795
"8" "sample53" 72.786407807037
"9" "sample83" 81.2845490062451
"10" "sample44" 73.4333436095039
"11" "sample21" 68.985831080357
"12" "sample80" 94.7854440247246
"13" "sample18" 65.1748923858959
"14" "sample99" 57.6223272524385
"15" "sample10" 61.7738877237565
"16" "sample20" 75.0949008186827
"17" "sample25" 65.4484504076311
"18" "sample85" 94.75416074298
"19" "sample39" 77.6572607270376
"20" "sample15" 61.9180598898568
"21" "Accuracy" 0.888705770054164
