"name" "value"
"1" "sample17" 71.3280282457115
"2" "sample57" 65.7344670093859
"3" "sample94" 88.38075775524
"4" "sample76" 96.0788304948569
"5" "sample86" 96.2770784566742
"6" "sample9" 73.8415111034569
"7" "sample64" 84.7869637283494
"8" "sample53" 79.9523574854787
"9" "sample83" 87.7069752017005
"10" "sample44" 81.3600382387771
"11" "sample21" 77.6348925221895
"12" "sample80" 91.1122027312971
"13" "sample18" 72.6047625690828
"14" "sample99" 70.106312332993
"15" "sample10" 71.1962575619625
"16" "sample20" 75.1104713274636
"17" "sample25" 72.764113556342
"18" "sample85" 93.023435631564
"19" "sample39" 81.0161423638201
"20" "sample15" 74.7119866423168
"21" "Accuracy" 0.945943175501907
